modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Wick,2/12/1348,2,5,2,12,1348,1348/12/2,51.455178,-2.4331526,Gloucestershire,several places,
Hartlebury,2/2/1342,2,4,2,2,1342,1342/2/2,52.327826,-2.2508729,Worcestershire,,
Hartlebury,2/2/1346,2,4,2,2,1346,1346/2/2,52.327826,-2.2508729,Worcestershire,,
Hillingdon,2/3/1339,2,4,2,3,1339,1339/3/2,51.526595,-0.4445791,Middlesex,,
Stonehouse Deanery,2/3/1340,2,4,2,3,1340,1340/3/2,51.74334,-2.2910695,Gloucestershire,several places,
Hartlebury,2/3/1341,2,4,2,3,1341,1341/3/2,52.327826,-2.2508729,Worcestershire,,
Hartlebury,2/3/1342,2,4,2,3,1342,1342/3/2,52.327826,-2.2508729,Worcestershire,,
Hartlebury,2/3/1344,2,4,2,3,1344,1344/3/2,52.327826,-2.2508729,Worcestershire,,
Hartlebury,2/3/1345,2,4,2,3,1345,1345/3/2,52.327826,-2.2508729,Worcestershire,,
Milborne,2/4/1348,2,4,2,4,1348,1348/4/2,51.581826,-2.0879871,Wiltshire,several places,
Hartlebury,2/5/1339,2,4,2,5,1339,1339/5/2,52.327826,-2.2508729,Worcestershire,,
Hartlebury,2/5/1349,2,4,2,5,1349,1349/5/2,52.327826,-2.2508729,Worcestershire,,
Iron Acton,2/6/1340,2,4,2,6,1340,1340/6/2,51.549,-2.463,Gloucestershire,117,
Pucklechurch,1/6/1340,2,4,1,6,1340,1340/6/1,51.482098,-2.4478083,Gloucestershire,117,
Henbury,2/6/1342,2,4,2,6,1342,1342/6/2,51.499215,-2.6352549,Gloucestershire,,
Blockley,2/6/1344,2,4,2,6,1344,1344/6/2,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Alvechurch,2/7/1344,2,4,2,7,1344,1344/7/2,52.34607,-1.9720644,Worcestershire,,
Hartlebury,2/7/1349,2,4,2,7,1349,1349/7/2,52.327826,-2.2508729,Worcestershire,,
