modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Elstow,24/6/1339,3,5,24,6,1339,1339/6/24,52.10238,-0.4684299,Bedfordshire,,
Tewkesbury,24/6/1339,3,5,24,6,1339,1339/6/24,51.986345,-2.1615883,Gloucestershire,1125,
Henbury,24/6/1340,3,5,24,6,1340,1340/6/24,51.499215,-2.6352549,Gloucestershire,,
Henbury,24/6/1343,3,5,24,6,1343,1343/6/24,51.499215,-2.6352549,Gloucestershire,,
Bredon,24/7/1339,3,5,24,7,1339,1339/7/24,52.022359,-2.1179982,Worcestershire,,
Hartlebury,24/7/1349,3,5,24,7,1349,1349/7/24,52.327826,-2.2508729,Worcestershire,,
Withington,24/8/1341,3,5,24,8,1341,1341/8/24,51.833604,-1.9578672,Gloucestershire,,
Withington,24/8/1344,3,5,24,8,1344,1344/8/24,51.833604,-1.9578672,Gloucestershire,,
Southwark,24/8/1345,3,5,24,8,1345,1345/8/24,51.503528,-0.0995549,Surrey,,
Campden,24/9/1345,3,5,24,9,1345,1345/9/24,52.031209,-1.7827679,Gloucestershire,,
Withington,24/9/1347,3,5,24,9,1347,1347/9/24,51.833604,-1.9578672,Gloucestershire,,
Leominster,25/1/1347,3,5,25,1,1347,1347/1/25,52.226828,-2.7480749,Herefordshire,,
Kidderminster,25/10/1339,3,6,25,10,1339,1339/10/25,52.381734,-2.2658701,Worcestershire,,
Hartlebury,25/10/1348,3,6,25,10,1348,1348/10/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,25/11/1339,3,6,25,11,1339,1339/11/25,52.327826,-2.2508729,Worcestershire,,
Eaton,25/11/1343,3,6,25,11,1343,1343/11/25,52.03756,-2.8178035,Herefordshire,several places,
Westminster,25/11/1344,3,6,25,11,1344,1344/11/25,51.495233,-0.1431191,Middlesex,,
Hartlebury,25/11/1347,3,6,25,11,1347,1347/11/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,25/12/1341,3,6,25,12,1341,1341/12/25,52.327826,-2.2508729,Worcestershire,,
Cirencester,25/2/1340,3,5,25,2,1340,1340/2/25,51.707734,-1.9724556,Gloucestershire,,
Hartlebury,25/2/1342,3,5,25,2,1342,1342/2/25,52.327826,-2.2508729,Worcestershire,,
Pershore,25/2/1346,3,5,25,2,1346,1346/2/25,52.1033,-2.0890127,Worcestershire,,
Hartlebury,25/3/1340,3,5,25,3,1340,1340/3/25,52.327826,-2.2508729,Worcestershire,,
Alvechurch,25/3/1343,3,5,25,3,1343,1343/3/25,52.34607,-1.9720644,Worcestershire,,
Hartlebury,25/3/1348,3,5,25,3,1348,1348/3/25,52.327826,-2.2508729,Worcestershire,,
Alvechurch,25/4/1340,3,5,25,4,1340,1340/4/25,52.34607,-1.9720644,Worcestershire,,
Hartlebury,25/4/1342,3,5,25,4,1342,1342/4/25,52.327826,-2.2508729,Worcestershire,,
Bristol,25/4/1346,3,5,25,4,1346,1346/4/25,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,25/4/1348,3,5,25,4,1348,1348/4/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,25/5/1343,3,5,25,5,1343,1343/5/25,52.327826,-2.2508729,Worcestershire,,
Kempsey,25/5/1349,3,5,25,5,1349,1349/5/25,52.139089,-2.2205872,Worcestershire,,
Hartlebury,25/6/1349,3,5,25,6,1349,1349/6/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,25/7/1349,3,5,25,7,1349,1349/7/25,52.327826,-2.2508729,Worcestershire,,
Withington,25/8/1341,3,5,25,8,1341,1341/8/25,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,25/9/1339,3,5,25,9,1339,1339/9/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,25/9/1340,3,5,25,9,1340,1340/9/25,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/1/1347,3,5,26,1,1347,1347/1/26,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/1/1349,3,5,26,1,1349,1349/1/26,52.327826,-2.2508729,Worcestershire,,
Halesowen,26/10/1339,3,6,26,10,1339,1339/10/26,52.444949,-2.0602769,Worcestershire,,
Stanton,26/10/1343,3,6,26,10,1343,1343/10/26,52.0064,-1.8968,Gloucestershire,1186,
Hartlebury,26/11/1339,3,6,26,11,1339,1339/11/26,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/11/1340,3,6,26,11,1340,1340/11/26,52.327826,-2.2508729,Worcestershire,,
Cirencester,26/2/1340,3,5,26,2,1340,1340/2/26,51.707734,-1.9724556,Gloucestershire,,
Hartlebury,26/2/1347,3,5,26,2,1347,1347/2/26,52.327826,-2.2508729,Worcestershire,,
Kempsey,26/3/1339,3,5,26,3,1339,1339/3/26,52.139089,-2.2205872,Worcestershire,1113,
Kempsey,26/3/1339,3,5,26,3,1339,1339/3/26,52.139089,-2.2205872,Worcestershire,24,
Hartlebury,26/3/1345,3,5,26,3,1345,1345/3/26,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/4/1339,3,5,26,4,1339,1339/4/26,52.327826,-2.2508729,Worcestershire,,
Alvechurch,26/4/1340,3,5,26,4,1340,1340/4/26,52.34607,-1.9720644,Worcestershire,,
Wiveliscombe,26/4/1343,3,5,26,4,1343,1343/4/26,51.03497,-3.3134566,Somerset,,
Pershore,26/4/1344,3,5,26,4,1344,1344/4/26,52.1033,-2.0890127,Worcestershire,,
Hartlebury,26/4/1345,3,5,26,4,1345,1345/4/26,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/5/1341,3,5,26,5,1341,1341/5/26,52.327826,-2.2508729,Worcestershire,,
Hartlebury,26/5/1349,3,5,26,5,1349,1349/5/26,52.327826,-2.2508729,Worcestershire,,
Bredon,26/5/1339,3,5,26,5,1339,1339/5/26,52.022359,-2.1179982,Worcestershire,1119,
Bredon,26/6/1339,3,5,26,6,1339,1339/6/26,52.022359,-2.1179982,Worcestershire,,
Bristol Deanery,26/6/1340,3,5,26,6,1340,1340/6/26,51.47254,-2.5772934,Gloucestershire,,
Blockley,26/6/1341,3,5,26,6,1341,1341/6/26,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hartlebury,26/6/1349,3,5,26,6,1349,1349/6/26,52.327826,-2.2508729,Worcestershire,,
Westbury,26/7/1341,3,5,26,7,1341,1341/7/26,51.248996,-2.2019694,Wiltshire,several places,
Hartlebury,26/7/1349,3,5,26,7,1349,1349/7/26,52.327826,-2.2508729,Worcestershire,,
Withington,26/8/1341,3,5,26,8,1341,1341/8/26,51.833604,-1.9578672,Gloucestershire,,
Henbury,26/8/1345,3,5,26,8,1345,1345/8/26,51.499215,-2.6352549,Gloucestershire,,
Tewkesbury,26/8/1347,3,5,26,8,1347,1347/8/26,51.986345,-2.1615883,Gloucestershire,,
Henbury,26/8/1348,3,5,26,8,1348,1348/8/26,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,26/9/1339,3,5,26,9,1339,1339/9/26,52.327826,-2.2508729,Worcestershire,,
Hagley,27/10/1339,3,6,27,10,1339,1339/10/27,52.426908,-2.1337842,Worcestershire,,
Alvechurch,27/10/1340,3,6,27,10,1340,1340/10/27,52.34607,-1.9720644,Worcestershire,,
Withington,27/10/1343,3,6,27,10,1343,1343/10/27,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,27/11/1342,3,6,27,11,1342,1342/11/27,52.327826,-2.2508729,Worcestershire,,
Hartlebury,27/11/1344,3,6,27,11,1344,1344/11/27,52.327826,-2.2508729,Worcestershire,,
Wick,27/11/1347,3,6,27,11,1347,1347/11/27,51.455178,-2.4331526,Gloucestershire,several places,
Tetbury,27/11/1434,3,6,27,11,1434,1434/11/27,51.635698,-2.1603372,Gloucestershire,,
Westminster,27/2/1339,3,5,27,2,1339,1339/2/27,51.495233,-0.1431191,Middlesex,1114 error,
Cirencester,27/2/1340,3,5,27,2,1340,1340/2/27,51.707734,-1.9724556,Gloucestershire,,
Bredon,27/2/1346,3,5,27,2,1346,1346/2/27,52.022359,-2.1179982,Worcestershire,,
Kempsey,27/3/1339,3,5,27,3,1339,1339/3/27,52.139089,-2.2205872,Worcestershire,1114,
Hartlebury,27/3/1345,3,5,27,3,1345,1345/3/27,52.327826,-2.2508729,Worcestershire,,
Boddington,27/4/1339,3,5,27,4,1339,1339/4/27,51.923409,-2.1613619,Gloucestershire,,
Alvechurch,27/4/1340,3,5,27,4,1340,1340/4/27,52.34607,-1.9720644,Worcestershire,,
Avignon,27/4/1341,3,5,27,4,1341,1341/4/27,43.949317,4.805528,,,
Campden,27/4/1344,3,5,27,4,1344,1344/4/27,52.031209,-1.7827679,Gloucestershire,,
Hartlebury,27/4/1346,3,5,27,4,1346,1346/4/27,52.327826,-2.2508729,Worcestershire,,
Dursley Deanery,27/5/1340,3,5,27,5,1340,1340/5/27,51.680246,-2.3485178,Gloucestershire,,
Hartlebury,27/5/1349,3,5,27,5,1349,1349/5/27,52.327826,-2.2508729,Worcestershire,,
Bredon,27/6/1339,3,5,27,6,1339,1339/6/27,52.022359,-2.1179982,Worcestershire,,
Bristol Deanery,27/6/1340,3,5,27,6,1340,1340/6/27,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,27/6/1349,3,5,27,6,1349,1349/6/27,52.327826,-2.2508729,Worcestershire,,
Cirencester,27/7/1339,3,5,27,7,1339,1339/7/27,51.707734,-1.9724556,Gloucestershire,,
Bredon,27/7/1340,3,5,27,7,1340,1340/7/27,52.022359,-2.1179982,Worcestershire,,
Withington,27/7/1346,3,5,27,7,1346,1346/7/27,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,27/7/1349,3,5,27,7,1349,1349/7/27,52.327826,-2.2508729,Worcestershire,,
Henbury,27/8/1345,3,5,27,8,1345,1345/8/27,51.499215,-2.6352549,Gloucestershire,,
Henbury,27/8/1348,3,5,27,8,1348,1348/8/27,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,27/9/1339,3,5,27,9,1339,1339/9/27,52.327826,-2.2508729,Worcestershire,,
Hartlebury,27/9/1340,3,5,27,9,1340,1340/9/27,52.327826,-2.2508729,Worcestershire,,
Westminster,28/1/1344,3,5,28,1,1344,1344/1/28,51.495233,-0.1431191,Middlesex,see 1313 for 1348 year,
Belbroughton,28/10/1339,3,6,28,10,1339,1339/10/28,52.381958,-2.1336481,Worcestershire,,
Alvechurch,28/10/1340,3,6,28,10,1340,1340/10/28,52.34607,-1.9720644,Worcestershire,,
Hartlebury,28/11/1340,3,6,28,11,1340,1340/11/28,52.327826,-2.2508729,Worcestershire,,
Hartlebury,28/11/1347,3,6,28,11,1347,1347/11/28,52.327826,-2.2508729,Worcestershire,,
Cirencester,28/2/1340,3,5,28,2,1340,1340/2/28,51.707734,-1.9724556,Gloucestershire,,
Cirencester,28/2/1340,3,5,28,2,1340,1340/2/28,51.707734,-1.9724556,Gloucestershire,,
Hartlebury,28/2/1345,3,5,28,2,1345,1345/2/28,52.327826,-2.2508729,Worcestershire,,
Hartlebury,28/2/1347,3,5,28,2,1347,1347/2/28,52.327826,-2.2508729,Worcestershire,,
Worcester,28/3/1339,3,5,28,3,1339,1339/3/28,52.184041,-2.2208098,Worcestershire,,
Worcester,28/3/1342,3,5,28,3,1342,1342/3/28,52.184041,-2.2208098,Worcestershire,,
Hartlebury,28/3/1349,3,5,28,3,1349,1349/3/28,52.327826,-2.2508729,Worcestershire,,
Hartlebury,28/4/1339,3,5,28,4,1339,1339/4/28,52.327826,-2.2508729,Worcestershire,175,
Alvechurch,28/4/1340,3,5,28,4,1340,1340/4/28,52.34607,-1.9720644,Worcestershire,,
Hartlebury,28/4/1343,3,5,28,4,1343,1343/4/28,52.327826,-2.2508729,Worcestershire,,
Bredon,28/5/1339,3,5,28,5,1339,1339/5/28,52.022359,-2.1179982,Worcestershire,,
Dursley Deanery,28/5/1340,3,5,28,5,1340,1340/5/28,51.680246,-2.3485178,Gloucestershire,,
Hartlebury,28/5/1349,3,5,28,5,1349,1349/5/28,52.327826,-2.2508729,Worcestershire,,
Brekeley,28/6/1340,3,5,28,6,1340,1340/6/28,51.688836,-2.4643126,Gloucestershire,,
Bredon,28/6/1346,3,5,28,6,1346,1346/6/28,52.022359,-2.1179982,Worcestershire,,
Hartlebury,28/6/1349,3,5,28,6,1349,1349/6/28,52.327826,-2.2508729,Worcestershire,,
Fladbury,28/7/1340,3,5,28,7,1340,1340/7/28,52.112323,-2.0160173,Worcestershire,,
Bidford,28/7/1343,3,5,28,7,1343,1343/7/28,52.157188,-1.8552428,Warwickshire,,
Alvechurch,28/8/1339,3,5,28,8,1339,1339/8/28,52.34607,-1.9720644,Worcestershire,,
Orsett,28/8/1342,3,5,28,8,1342,1342/8/28,51.50414,0.3615811,Essex,,
Henbury,28/8/1345,3,5,28,8,1345,1345/8/28,51.499215,-2.6352549,Gloucestershire,,
Henbury,28/8/1348,3,5,28,8,1348,1348/8/28,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,28/9/1339,3,5,28,9,1339,1339/9/28,52.327826,-2.2508729,Worcestershire,,
Blockley,28/9/1345,3,5,28,9,1345,1345/9/28,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hampton Bishop,29/1/1346,3,5,29,1,1346,1346/1/29,52.038564,-2.6574537,Herefordshire,,
"Old Temple, London",29/1/1348,3,5,29,1,1348,1348/1/29,51.512747,-0.1135832,Middlesex,,
Drotwich,29/10/1339,3,6,29,10,1339,1339/10/29,52.265068,-2.1479485,Worcestershire,,
Hartlebury,29/10/1347,3,6,29,10,1347,1347/10/29,52.327826,-2.2508729,Worcestershire,,
Hartlebury,29/11/1339,3,6,29,11,1339,1339/11/29,52.327826,-2.2508729,Worcestershire,,
Hartlebury,29/11/1347,3,6,29,11,1347,1347/11/29,52.327826,-2.2508729,Worcestershire,,
Hartlebury,29/12/1342,3,6,29,12,1342,1342/12/29,52.327826,-2.2508729,Worcestershire,,
Cirencester,29/2/1340,3,5,29,2,1340,1340/2/29,51.707734,-1.9724556,Gloucestershire,,
Hartlebury,29/3/1342,3,5,29,3,1342,1342/3/29,52.327826,-2.2508729,Worcestershire,,
Bredon,29/3/1343,3,5,29,3,1343,1343/3/29,52.022359,-2.1179982,Worcestershire,,
Billeswick,29/3/1346,3,5,29,3,1346,1346/3/29,51.47254,-2.5772934,Gloucestershire,,
Bredon,29/4/1339,3,5,29,4,1339,1339/4/29,52.022359,-2.1179982,Worcestershire,67,
Hartlebury,29/4/1339,3,5,29,4,1339,1339/4/29,52.327826,-2.2508729,Worcestershire,179,
Farnham,29/4/1344,3,5,29,4,1344,1344/4/29,51.207042,-0.7989388,Surrey,,
Hartlebury,29/4/1349,3,5,29,4,1349,1349/4/29,52.327826,-2.2508729,Worcestershire,,
Bredon,29/5/1339,3,5,29,5,1339,1339/5/29,52.022359,-2.1179982,Worcestershire,,
Hawkesbury,29/5/1340,3,5,29,5,1340,1340/5/29,52.327826,-2.2508729,Worcestershire,,
Tetbury,29/5/1342,3,5,29,5,1342,1342/5/29,51.635698,-2.1603372,Gloucestershire,,
Campden,29/5/1344,3,5,29,5,1344,1344/5/29,52.031209,-1.7827679,Gloucestershire,,
Hartlebury,29/5/1346,3,5,29,5,1346,1346/5/29,52.327826,-2.2508729,Worcestershire,1267,
Hartlebury,29/5/1349,3,5,29,5,1349,1349/5/29,52.327826,-2.2508729,Worcestershire,,
Eastington,29/6/1340,3,5,29,6,1340,1340/6/29,51.7502,-2.31732,,1142,
Withington,29/6/1340,3,5,29,6,1340,1340/6/29,51.833604,-1.9578672,Gloucestershire,,
Blockley,29/6/1341,3,5,29,6,1341,1341/6/29,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hartlebury,29/6/1349,3,5,29,6,1349,1349/6/29,52.327826,-2.2508729,Worcestershire,,
Bredon,29/7/1339,3,5,29,7,1339,1339/7/29,52.022359,-2.1179982,Worcestershire,,
Withington,29/7/1341,3,5,29,7,1341,1341/7/29,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,29/7/1349,3,5,29,7,1349,1349/7/29,52.327826,-2.2508729,Worcestershire,,
Hartlebury,29/8/1340,3,5,29,8,1340,1340/8/29,52.327826,-2.2508729,Worcestershire,,
Withington,29/8/1341,3,5,29,8,1341,1341/8/29,51.833604,-1.9578672,Gloucestershire,,
Withington,29/8/1341,3,5,29,8,1341,1341/8/29,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,29/8/1343,3,5,29,8,1343,1343/8/29,52.327826,-2.2508729,Worcestershire,568,
Henbury,29/8/1343,3,5,29,8,1343,1343/8/29,51.499215,-2.6352549,Gloucestershire,?,
Tewkesbury,29/8/1347,3,5,29,8,1347,1347/8/29,51.986345,-2.1615883,Gloucestershire,,
Henbury,29/8/1348,3,5,29,8,1348,1348/8/29,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,29/9/1339,3,5,29,9,1339,1339/9/29,52.327826,-2.2508729,Worcestershire,,
Hartlebury,29/9/1340,3,5,29,9,1340,1340/9/29,52.327826,-2.2508729,Worcestershire,,
Withington,29/9/1342,3,5,29,9,1342,1342/9/29,51.833604,-1.9578672,Gloucestershire,,
Blockley,29/9/1345,3,5,29,9,1345,1345/9/29,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Kempsey,3/1/1343,2,4,3,1,1343,1343/1/3,52.139089,-2.2205872,Worcestershire,1174,
Mortlake,3/1/1343,2,4,3,1,1343,1343/1/3,51.461264,-0.2740579,Surrey,,
Hartlebury,3/1/1346,2,4,3,1,1346,1346/1/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/10/1340,2,5,3,10,1340,1340/10/3,52.327826,-2.2508729,Worcestershire,,
Withington,3/10/1342,2,5,3,10,1342,1342/10/3,51.833604,-1.9578672,Gloucestershire,,
Avignon,3/10/1343,2,5,3,10,1343,1343/10/3,43.949317,4.805528,,,
Cirencester,3/10/1346,2,5,3,10,1346,1346/10/3,51.707734,-1.9724556,Gloucestershire,,
Pershore,3/11/1339,2,5,3,11,1339,1339/11/3,52.1033,-2.0890127,Worcestershire,,
Alvechurch,3/11/1340,2,5,3,11,1340,1340/11/3,52.34607,-1.9720644,Worcestershire,,
Hartlebury,3/11/1347,2,5,3,11,1347,1347/11/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/11/1348,2,5,3,11,1348,1348/11/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/12/1339,2,5,3,12,1339,1339/12/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/12/1344,2,5,3,12,1344,1344/12/3,52.327826,-2.2508729,Worcestershire,,
Westminster,3/2/1346,2,4,3,2,1346,1346/2/3,51.495233,-0.1431191,Middlesex,1257 prospective summons,
Minchinhampton,3/3/1340,2,4,3,3,1340,1340/3/3,51.698568,-2.2039671,Gloucestershire,267,
Hartlebury,3/3/1341,2,4,3,3,1341,1341/3/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/3/1345,2,4,3,3,1345,1345/3/3,52.327826,-2.2508729,Worcestershire,1234,
Hartlebury,3/3/1348,2,4,3,3,1348,1348/3/3,52.327826,-2.2508729,Worcestershire,,
Spetchley,3/4/1339,2,4,3,4,1339,1339/4/3,52.175146,-2.1622727,Worcestershire,,
Hartlebury,3/4/1340,2,4,3,4,1340,1340/4/3,52.327826,-2.2508729,Worcestershire,,
Bredon,3/4/1343,2,4,3,4,1343,1343/4/3,52.022359,-2.1179982,Worcestershire,,
Hartlebury,3/4/1344,2,4,3,4,1344,1344/4/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/4/1349,2,4,3,4,1349,1349/4/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/5/1339,2,4,3,5,1339,1339/5/3,52.327826,-2.2508729,Worcestershire,,
Alvechurch,3/5/1340,2,4,3,5,1340,1340/5/3,52.34607,-1.9720644,Worcestershire,,
Hartlebury,3/5/1344,2,4,3,5,1344,1344/5/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/5/1344,2,4,3,5,1344,1344/5/3,52.327826,-2.2508729,Worcestershire,1219,
Hartlebury,3/5/1347,2,4,3,5,1347,1347/5/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/5/1349,2,4,3,5,1349,1349/5/3,52.327826,-2.2508729,Worcestershire,,
Blockley,3/6/1344,2,4,3,6,1344,1344/6/3,52.00421,-1.768331,,1221,
Hartlebury,3/6/1348,2,4,3,6,1348,1348/6/3,52.327826,-2.2508729,Worcestershire,,
Blockley,3/7/1340,2,4,3,7,1340,1340/7/3,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Henbury,3/7/1345,2,4,3,7,1345,1345/7/3,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,3/7/1349,2,4,3,7,1349,1349/7/3,52.327826,-2.2508729,Worcestershire,,
Hartlebury,3/8/1340,2,4,3,8,1340,1340/8/3,52.327826,-2.2508729,Worcestershire,,
Withington,3/8/1341,2,4,3,8,1341,1341/8/3,51.833604,-1.9578672,Gloucestershire,,
Overbury,3/8/1342,2,4,3,8,1342,1342/8/3,52.031386,-2.0742931,Worcestershire,476,
Hartlebury,3/8/1344,2,4,3,8,1344,1344/8/3,52.327826,-2.2508729,Worcestershire,1223,
Hartlebury,3/8/1349,2,4,3,8,1349,1349/8/3,52.327826,-2.2508729,Worcestershire,,
Withington,3/9/1341,2,4,3,9,1341,1341/9/3,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,30/1/1341,3,5,30,1,1341,1341/1/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/1/1349,3,5,30,1,1349,1349/1/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/10/1348,3,6,30,10,1348,1348/10/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/11/1339,3,6,30,11,1339,1339/11/30,52.327826,-2.2508729,Worcestershire,,
Kennington,30/11/1342,3,6,30,11,1342,1342/11/30,51.714328,-1.2487393,Berkshire,several places,
Hartlebury,30/12/1339,3,6,30,12,1339,1339/12/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/12/1341,3,6,30,12,1341,1341/12/30,52.327826,-2.2508729,Worcestershire,,
Spetchley,30/3/1339,3,5,30,3,1339,1339/3/30,52.175146,-2.1622727,Worcestershire,161,
Hartlebury,30/3/1345,3,5,30,3,1345,1345/3/30,52.327826,-2.2508729,Worcestershire,,
Alvechurch,30/4/1330,3,5,30,4,1330,1330/4/30,52.34607,-1.9720644,Worcestershire,,
Hartlebury,30/4/1339,3,5,30,4,1339,1339/4/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/4/1345,3,5,30,4,1345,1345/4/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/4/1349,3,5,30,4,1349,1349/4/30,52.327826,-2.2508729,Worcestershire,,
Hawkesbury,30/5/1340,3,5,30,5,1340,1340/5/30,,,Gloucestershire,117,
Eastington,30/5/1340,3,5,30,5,1340,1340/5/30,51.7502,-2.31732,,??,Coords source:http://www.gatehouse-gazetteer.info/English%20sites/4470.html
Hartlebury,30/5/1347,3,5,30,5,1347,1347/5/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/5/1348,3,5,30,5,1348,1348/5/30,52.327826,-2.2508729,Worcestershire,,
Bredon,30/6/1339,3,5,30,6,1339,1339/6/30,52.022359,-2.1179982,Worcestershire,,
Hartlebury,30/6/1349,3,5,30,6,1349,1349/6/30,52.327826,-2.2508729,Worcestershire,,
Kempsey,30/7/1340,3,5,30,7,1340,1340/7/30,52.139089,-2.2205872,Worcestershire,,
Alvechurch,30/7/1344,3,5,30,7,1344,1344/7/30,52.34607,-1.9720644,Worcestershire,???,
Droitwich,30/7/1344,3,5,30,7,1344,1344/7/30,52.265068,-2.1479485,Worcestershire,642,
Withington,30/7/1348,3,5,30,7,1348,1348/7/30,51.833604,-1.9578672,Gloucestershire,,
Withington,30/8/1341,3,5,30,8,1341,1341/8/30,51.833604,-1.9578672,Gloucestershire,,
Dover,30/8/1347,3,5,30,8,1347,1347/8/30,51.121687,1.2995755,Kent,,
Hartlebury,30/9/1339,3,5,30,9,1339,1339/9/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,30/9/1344,3,5,30,9,1344,1344/9/30,52.327826,-2.2508729,Worcestershire,,
Hartlebury,31/1/1349,3,5,31,1,1349,1349/1/31,52.327826,-2.2508729,Worcestershire,,
Worcester,31/12/1340,3,6,31,12,1340,1340/12/31,52.184041,-2.2208098,Worcestershire,,
Hartlebury,31/12/1342,3,6,31,12,1342,1342/12/31,52.327826,-2.2508729,Worcestershire,,
Spetchley,31/3/1339,3,5,31,3,1339,1339/3/31,52.175146,-2.1622727,Worcestershire,,
Hartlebury,31/3/1344,3,5,31,3,1344,1344/3/31,52.327826,-2.2508729,Worcestershire,,
Codrington,31/5/1340,3,5,31,5,1340,1340/5/31,51.500238,-2.4047672,Gloucestershire,,
Pucklechurch,31/5/1340,3,5,31,5,1340,1340/5/31,51.482098,-2.4478083,Gloucestershire,315,
Blockley,31/5/1341,3,5,31,5,1341,1341/5/31,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Blockley,31/5/1344,3,5,31,5,1344,1344/5/31,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Withington,31/7/1341,3,5,31,7,1341,1341/7/31,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,31/7/1344,3,5,31,7,1344,1344/7/31,52.327826,-2.2508729,Worcestershire,,
Hartlebury,31/7/1349,3,5,31,7,1349,1349/7/31,52.327826,-2.2508729,Worcestershire,,
Spetchley,4/1/1339,2,4,4,1,1339,1339/1/4,52.175146,-2.1622727,Worcestershire,1115,
Hartlebury,4/1/1348,2,4,4,1,1348,1348/1/4,52.327826,-2.2508729,Worcestershire,,
Hartlebury,4/1/1349,2,4,4,1,1349,1349/1/4,52.327826,-2.2508729,Worcestershire,,
Withington,4/10/1342,2,5,4,10,1342,1342/10/4,51.833604,-1.9578672,Gloucestershire,,
Blockley,4/10/1345,2,5,4,10,1345,1345/10/4,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hartlebury,4/11/1348,2,5,4,11,1348,1348/11/4,52.327826,-2.2508729,Worcestershire,,
Hampton Bishop,4/2/1343,2,4,4,2,1343,1343/2/4,52.038564,-2.6574537,Herefordshire,,
Hartlebury,4/2/1349,2,4,4,2,1349,1349/2/4,52.327826,-2.2508729,Worcestershire,,
Horsley,4/3/1340,2,4,4,3,1340,1340/3/4,51.680503,-2.2472759,Gloucestershire,117,
Hartlebury,4/3/1348,2,4,4,3,1348,1348/3/4,52.327826,-2.2508729,Worcestershire,,
Spetchley,4/4/1339,2,4,4,4,1339,1339/4/4,52.175146,-2.1622727,Worcestershire,,
Hartlebury,4/5/1339,2,4,4,5,1339,1339/5/4,52.327826,-2.2508729,Worcestershire,,
Alvechurch,4/5/1340,2,4,4,5,1340,1340/5/4,52.34607,-1.9720644,Worcestershire,,
Hartlebury,4/5/1349,2,4,4,5,1349,1349/5/4,52.327826,-2.2508729,Worcestershire,,
Henbury,4/6/1342,2,4,4,6,1342,1342/6/4,51.499215,-2.6352549,Gloucestershire,,
Bredon,4/6/1348,2,4,4,6,1348,1348/6/4,52.022359,-2.1179982,Worcestershire,,
Blockley,4/7/1340,2,4,4,7,1340,1340/7/4,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Salisbury,4/7/1347,2,4,4,7,1347,1347/7/4,51.069163,-1.8015686,Wiltshire,,
Kempsey,4/8/1343,2,4,4,8,1343,1343/8/4,52.139089,-2.2205872,Worcestershire,1175; dates are a bit puzzling could be 1342,
Calais,4/8/1347,2,4,4,8,1347,1347/8/4,50.95129,1.858686,,,
